[2025-03-20 12:12:18,451] [INFO] Node started: localhost:30031 | index= 32 | f=1, k=4
[2025-03-20 12:12:26,935] [INFO] Phase: PRE-PREPARE | Receiver: 30031 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16781368 bit
[2025-03-20 12:12:26,950] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:27,331] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:27,343] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:  102.55 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:28,458] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:28,490] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:28,519] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:28,559] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:28,632] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:28,729] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,753] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:28,765] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30031 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:12:28,829] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:28,872] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,891] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,925] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:28,949] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:28,976] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:29,037] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,071] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,083] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,113] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:29,134] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,146] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,174] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30007 | Distance:  146.90 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,186] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30007 | Distance:  146.90 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,194] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:29,207] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,213] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,225] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:29,237] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:34,940] [INFO] Phase: PRE-PREPARE | Receiver: 30031 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16781368 bit
[2025-03-20 12:12:34,940] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:35,322] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:35,334] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:36,146] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:36,592] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,625] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:36,704] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:36,756] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,784] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:36,861] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,886] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:36,896] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30031 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:36,931] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,948] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:36,962] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,994] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:37,042] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:12:37,057] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:37,089] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,105] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:37,121] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:37,137] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:37,152] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30007 | Distance:  146.90 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,163] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30024 | Distance:  132.64 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,172] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30010 | Distance:  129.84 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,184] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:12:37,200] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30034 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:37,200] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30017 | Distance:  140.87 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,215] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30007 | Distance:  146.90 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:37,232] [INFO] Phase: COMMIT | Receiver: 30031 | Sender: 30028 | Distance:  161.10 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:42,954] [INFO] Phase: PRE-PREPARE | Receiver: 30031 | Sender: 30030 | Distance:   74.04 m | Delay: 0.4661s | Size: 16781360 bit
[2025-03-20 12:12:42,956] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:43,288] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30001 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:43,297] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30031 | Distance:   68.51 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:12:43,941] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30013 | Distance:  102.55 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:43,969] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30016 | Distance:   74.94 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:12:44,001] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30027 | Distance:   65.59 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:44,217] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30023 | Distance:  113.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:44,270] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30035 | Distance:  166.51 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:12:44,303] [INFO] Phase: PREPARE | Receiver: 30031 | Sender: 30014 | Distance:   66.23 m | Delay: 0.4661s | Size: 16778984 bit
