[2025-03-12 17:12:32,480] [INFO] [30044] COMMIT received from 30041 for REQUEST 1741767145002
[2025-03-12 17:12:32,612] [INFO] [30044] PREPARE received from 30043 for REQUEST 1741767145002
[2025-03-12 17:12:32,629] [INFO] [30044] COMMIT received from 30043 for REQUEST 1741767145002
[2025-03-12 17:12:32,819] [INFO] [30044] PRE-PREPARE received: {'request_id': 1741767152662, 'data': 'llapbft_message_1741767152662', 'timestamp': 1741767152.6922793, 'leader': 30180, 'cluster_id': 0, 'cluster_ports': [30013, 30016, 30018, 30023, 30025, 30033, 30035, 30041, 30043, 30044, 30046, 30051, 30053, 30054, 30055, 30061, 30063, 30064, 30067, 30071, 30077, 30080, 30081, 30088, 30090, 30091, 30092, 30094, 30097, 30099, 30102, 30106, 30109, 30112, 30113, 30116, 30118, 30121, 30127, 30128, 30134, 30137, 30138, 30139, 30142, 30145, 30148, 30151, 30154, 30163, 30165, 30168, 30169, 30171, 30172, 30173, 30177, 30180, 30188, 30192, 30195], 'cluster_manager': {'host': 'localhost', 'port': 30112, 'latitude': 36.6270849, 'longitude': 127.4585543, 'altitude': 134, 'offset_m': 'lat: 53 m, lng: 4 m, alt: 134 m'}, 'simulated_delay': 0.00016755555555555556, 'distance': 62.42556181335207, 'message_size_bits': 6032}
[2025-03-12 17:12:32,819] [INFO] [30044] Broadcasting PREPARE: REQUEST 1741767152662
[2025-03-12 17:12:32,831] [INFO] [30044] PREPARE received from 30025 for REQUEST 1741767152662
[2025-03-12 17:12:32,832] [INFO] [30044] Broadcasting COMMIT: REQUEST 1741767152662
[2025-03-12 17:12:32,833] [INFO] [30044] PREPARE received from 30148 for REQUEST 1741767152662
[2025-03-12 17:12:32,850] [INFO] [30044] PREPARE received from 30195 for REQUEST 1741767152662
[2025-03-12 17:12:32,850] [INFO] [30044] COMMIT received from 30025 for REQUEST 1741767152662
[2025-03-12 17:12:32,851] [INFO] [30044] PREPARE received from 30046 for REQUEST 1741767152662
[2025-03-12 17:12:33,142] [INFO] [30044] COMMIT received from 30148 for REQUEST 1741767152662
[2025-03-12 17:12:33,142] [INFO] [30044] COMMIT complete. Sending PRE-REPLY: REQUEST 1741767152662 directly to Manager 30112
[2025-03-12 17:12:33,145] [INFO] [30044] PREPARE received from 30080 for REQUEST 1741767152662
[2025-03-12 17:12:33,145] [INFO] [30044] PREPARE received from 30054 for REQUEST 1741767152662
[2025-03-12 17:12:33,145] [INFO] [30044] PREPARE received from 30063 for REQUEST 1741767152662
[2025-03-12 17:12:33,147] [INFO] [30044] PREPARE received from 30064 for REQUEST 1741767152662
[2025-03-12 17:12:33,147] [INFO] [30044] PREPARE received from 30192 for REQUEST 1741767152662
[2025-03-12 17:12:33,148] [INFO] [30044] PREPARE received from 30169 for REQUEST 1741767152662
[2025-03-12 17:12:33,637] [INFO] [30044] PREPARE received from 30173 for REQUEST 1741767152662
[2025-03-12 17:12:33,637] [INFO] [30044] PREPARE received from 30061 for REQUEST 1741767152662
[2025-03-12 17:12:33,637] [INFO] [30044] COMMIT received from 30054 for REQUEST 1741767152662
[2025-03-12 17:12:33,637] [INFO] [30044] COMMIT received from 30055 for REQUEST 1741767152662
[2025-03-12 17:12:33,637] [INFO] [30044] COMMIT received from 30064 for REQUEST 1741767152662
[2025-03-12 17:12:33,639] [INFO] [30044] COMMIT received from 30080 for REQUEST 1741767152662
[2025-03-12 17:12:33,639] [INFO] [30044] COMMIT received from 30192 for REQUEST 1741767152662
[2025-03-12 17:12:33,639] [INFO] [30044] PREPARE received from 30055 for REQUEST 1741767152662
[2025-03-12 17:12:33,639] [INFO] [30044] COMMIT received from 30173 for REQUEST 1741767152662
[2025-03-12 17:12:33,639] [INFO] [30044] COMMIT received from 30063 for REQUEST 1741767152662
[2025-03-12 17:12:33,639] [INFO] [30044] COMMIT received from 30169 for REQUEST 1741767152662
[2025-03-12 17:12:33,642] [INFO] [30044] PREPARE received from 30188 for REQUEST 1741767152662
[2025-03-12 17:12:33,642] [INFO] [30044] PREPARE received from 30035 for REQUEST 1741767152662
[2025-03-12 17:12:33,662] [INFO] [30044] PREPARE received from 30013 for REQUEST 1741767152662
[2025-03-12 17:12:33,663] [INFO] [30044] PREPARE received from 30067 for REQUEST 1741767152662
[2025-03-12 17:12:33,663] [INFO] [30044] PREPARE received from 30171 for REQUEST 1741767152662
[2025-03-12 17:12:33,663] [INFO] [30044] PREPARE received from 30145 for REQUEST 1741767152662
[2025-03-12 17:12:33,663] [INFO] [30044] PREPARE received from 30102 for REQUEST 1741767152662
[2025-03-12 17:12:33,663] [INFO] [30044] PREPARE received from 30097 for REQUEST 1741767152662
[2025-03-12 17:12:33,663] [INFO] [30044] PREPARE received from 30138 for REQUEST 1741767152662
[2025-03-12 17:12:33,663] [INFO] [30044] COMMIT received from 30035 for REQUEST 1741767152662
[2025-03-12 17:12:33,665] [INFO] [30044] PREPARE received from 30053 for REQUEST 1741767152662
[2025-03-12 17:12:33,665] [INFO] [30044] COMMIT received from 30077 for REQUEST 1741767152662
[2025-03-12 17:12:33,665] [INFO] [30044] PREPARE received from 30033 for REQUEST 1741767152662
[2025-03-12 17:12:33,665] [INFO] [30044] PREPARE received from 30165 for REQUEST 1741767152662
[2025-03-12 17:12:33,665] [INFO] [30044] COMMIT received from 30151 for REQUEST 1741767152662
[2025-03-12 17:12:33,665] [INFO] [30044] COMMIT received from 30139 for REQUEST 1741767152662
[2025-03-12 17:12:33,665] [INFO] [30044] PREPARE received from 30177 for REQUEST 1741767152662
[2025-03-12 17:12:33,665] [INFO] [30044] PREPARE received from 30139 for REQUEST 1741767152662
[2025-03-12 17:12:33,667] [INFO] [30044] PREPARE received from 30088 for REQUEST 1741767152662
[2025-03-12 17:12:33,667] [INFO] [30044] COMMIT received from 30061 for REQUEST 1741767152662
[2025-03-12 17:12:33,667] [INFO] [30044] PREPARE received from 30121 for REQUEST 1741767152662
[2025-03-12 17:12:33,667] [INFO] [30044] PREPARE received from 30116 for REQUEST 1741767152662
[2025-03-12 17:12:33,668] [INFO] [30044] PREPARE received from 30090 for REQUEST 1741767152662
[2025-03-12 17:12:33,668] [INFO] [30044] PREPARE received from 30094 for REQUEST 1741767152662
[2025-03-12 17:12:33,668] [INFO] [30044] PREPARE received from 30163 for REQUEST 1741767152662
[2025-03-12 17:12:33,668] [INFO] [30044] COMMIT received from 30094 for REQUEST 1741767152662
[2025-03-12 17:12:33,669] [INFO] [30044] COMMIT received from 30053 for REQUEST 1741767152662
[2025-03-12 17:12:33,669] [INFO] [30044] PREPARE received from 30151 for REQUEST 1741767152662
[2025-03-12 17:12:33,669] [INFO] [30044] PREPARE received from 30077 for REQUEST 1741767152662
[2025-03-12 17:12:33,669] [INFO] [30044] PREPARE received from 30106 for REQUEST 1741767152662
[2025-03-12 17:12:33,669] [INFO] [30044] PREPARE received from 30081 for REQUEST 1741767152662
[2025-03-12 17:12:33,669] [INFO] [30044] PREPARE received from 30016 for REQUEST 1741767152662
[2025-03-12 17:12:33,669] [INFO] [30044] COMMIT received from 30145 for REQUEST 1741767152662
[2025-03-12 17:12:33,671] [INFO] [30044] PREPARE received from 30023 for REQUEST 1741767152662
[2025-03-12 17:12:33,671] [INFO] [30044] COMMIT received from 30195 for REQUEST 1741767152662
[2025-03-12 17:12:33,671] [INFO] [30044] COMMIT received from 30138 for REQUEST 1741767152662
[2025-03-12 17:12:33,671] [INFO] [30044] PREPARE received from 30137 for REQUEST 1741767152662
[2025-03-12 17:12:33,671] [INFO] [30044] COMMIT received from 30177 for REQUEST 1741767152662
[2025-03-12 17:12:33,671] [INFO] [30044] PREPARE received from 30099 for REQUEST 1741767152662
[2025-03-12 17:12:33,671] [INFO] [30044] PREPARE received from 30092 for REQUEST 1741767152662
[2025-03-12 17:12:33,674] [INFO] [30044] COMMIT received from 30046 for REQUEST 1741767152662
