[2025-03-20 12:12:14,024] [INFO] Node started: localhost:30009 | index= 10 | f=1, k=4
[2025-03-20 12:12:23,270] [INFO] Phase: PRE-PREPARE | Receiver: 30009 | Sender: 30003 | Distance:   55.55 m | Delay: 0.4661s | Size: 16781104 bit
[2025-03-20 12:12:23,273] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30009 | Distance:   55.55 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:23,652] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30019 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:23,656] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30009 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778144 bit
[2025-03-20 12:12:23,788] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30021 | Distance:  103.41 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:24,036] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30000 | Distance:  143.98 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:24,051] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30033 | Distance:  103.22 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:24,062] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30018 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:24,071] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30015 | Distance:   27.63 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:12:24,079] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30026 | Distance:  103.22 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:24,162] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30021 | Distance:  103.41 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:24,238] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30011 | Distance:   85.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:24,298] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30019 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:24,300] [INFO] Phase: PRE-REPLY | Receiver: 30006 | Sender: 30009 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:24,305] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30003 | Distance:   55.55 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:24,320] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30000 | Distance:  143.98 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:24,368] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30033 | Distance:  103.22 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:24,412] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30015 | Distance:   27.63 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:12:24,418] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30018 | Distance:   17.30 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:24,420] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30026 | Distance:  103.22 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:24,537] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30011 | Distance:   85.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:26,889] [INFO] Phase: PRE-PREPARE | Receiver: 30009 | Sender: 30003 | Distance:   55.55 m | Delay: 0.4661s | Size: 16781112 bit
[2025-03-20 12:12:26,891] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30009 | Distance:   55.55 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:12:27,252] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30019 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:12:27,268] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30009 | Distance:   70.07 m | Delay: 0.4661s | Size: 16778144 bit
[2025-03-20 12:12:27,489] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30021 | Distance:  103.41 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:27,834] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30000 | Distance:  143.98 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,087] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30015 | Distance:   27.63 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:12:28,128] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30026 | Distance:  103.22 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:28,166] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30033 | Distance:  103.22 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:28,199] [INFO] Phase: PREPARE | Receiver: 30009 | Sender: 30018 | Distance:   17.30 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:12:28,346] [INFO] Phase: COMMIT | Receiver: 30009 | Sender: 30021 | Distance:  103.41 m | Delay: 0.6991s | Size: 16778984 bit
