[2025-03-20 12:12:13,229] [INFO] Node started: localhost:30005 | index=  6 | f=1, k=4
[2025-03-20 12:12:26,982] [INFO] Phase: PRE-PREPARE | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:12:26,982] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:12:27,109] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:27,109] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:12:27,363] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:27,549] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:27,637] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:27,712] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:28,138] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:28,160] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30005 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:28,278] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,342] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:12:28,395] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:28,446] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:12:28,557] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:28,583] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:28,614] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:34,986] [INFO] Phase: PRE-PREPARE | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:12:34,986] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:12:35,100] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:12:35,104] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:35,429] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,514] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:35,578] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:35,653] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:12:36,144] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:12:36,188] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,249] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:36,269] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30005 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:36,378] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30032 | Distance:   15.22 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:12:36,406] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:36,511] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:36,566] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:36,594] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:12:42,974] [INFO] Phase: PRE-PREPARE | Receiver: 30005 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:12:42,988] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:12:43,127] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:43,135] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30005 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:12:43,360] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,572] [INFO] Phase: COMMIT | Receiver: 30005 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:12:43,618] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:12:43,689] [INFO] Phase: PREPARE | Receiver: 30005 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
