[2025-03-12 17:11:49,006] [INFO] Node started: localhost:30025 | index=26 | f=1, k=4
[2025-03-12 17:12:25,160] [INFO] [30025] PRE-PREPARE received: {'request_id': 1741767145002, 'data': 'llapbft_message_1741767145002', 'timestamp': 1741767145.0385158, 'leader': 30180, 'cluster_id': 0, 'cluster_ports': [30013, 30016, 30018, 30023, 30025, 30033, 30035, 30041, 30043, 30044, 30046, 30051, 30053, 30054, 30055, 30061, 30063, 30064, 30067, 30071, 30077, 30080, 30081, 30088, 30090, 30091, 30092, 30094, 30097, 30099, 30102, 30106, 30109, 30112, 30113, 30116, 30118, 30121, 30127, 30128, 30134, 30137, 30138, 30139, 30142, 30145, 30148, 30151, 30154, 30163, 30165, 30168, 30169, 30171, 30172, 30173, 30177, 30180, 30188, 30192, 30195], 'cluster_manager': {'host': 'localhost', 'port': 30112, 'latitude': 36.6270849, 'longitude': 127.4585543, 'altitude': 134, 'offset_m': 'lat: 53 m, lng: 4 m, alt: 134 m'}, 'simulated_delay': 0.00016755555555555556, 'distance': 75.90127174730043, 'message_size_bits': 6032}
[2025-03-12 17:12:25,164] [INFO] [30025] Broadcasting PREPARE: REQUEST 1741767145002
[2025-03-12 17:12:26,021] [INFO] [30025] PREPARE received from 30127 for REQUEST 1741767145002
[2025-03-12 17:12:26,021] [INFO] [30025] Broadcasting COMMIT: REQUEST 1741767145002
[2025-03-12 17:12:26,021] [INFO] [30025] PREPARE received from 30067 for REQUEST 1741767145002
[2025-03-12 17:12:26,023] [INFO] [30025] PREPARE received from 30121 for REQUEST 1741767145002
[2025-03-12 17:12:26,023] [INFO] [30025] PREPARE received from 30051 for REQUEST 1741767145002
[2025-03-12 17:12:26,023] [INFO] [30025] PREPARE received from 30177 for REQUEST 1741767145002
[2025-03-12 17:12:26,023] [INFO] [30025] PREPARE received from 30080 for REQUEST 1741767145002
[2025-03-12 17:12:26,024] [INFO] [30025] PREPARE received from 30088 for REQUEST 1741767145002
[2025-03-12 17:12:26,024] [INFO] [30025] PREPARE received from 30192 for REQUEST 1741767145002
[2025-03-12 17:12:26,024] [INFO] [30025] PREPARE received from 30113 for REQUEST 1741767145002
[2025-03-12 17:12:26,024] [INFO] [30025] PREPARE received from 30081 for REQUEST 1741767145002
[2025-03-12 17:12:26,026] [INFO] [30025] PREPARE received from 30109 for REQUEST 1741767145002
[2025-03-12 17:12:26,026] [INFO] [30025] PREPARE received from 30139 for REQUEST 1741767145002
[2025-03-12 17:12:26,026] [INFO] [30025] PREPARE received from 30094 for REQUEST 1741767145002
[2025-03-12 17:12:26,026] [INFO] [30025] PREPARE received from 30023 for REQUEST 1741767145002
[2025-03-12 17:12:26,026] [INFO] [30025] PREPARE received from 30106 for REQUEST 1741767145002
[2025-03-12 17:12:26,028] [INFO] [30025] PREPARE received from 30118 for REQUEST 1741767145002
[2025-03-12 17:12:26,028] [INFO] [30025] PREPARE received from 30142 for REQUEST 1741767145002
[2025-03-12 17:12:26,028] [INFO] [30025] PREPARE received from 30064 for REQUEST 1741767145002
[2025-03-12 17:12:26,028] [INFO] [30025] PREPARE received from 30188 for REQUEST 1741767145002
[2025-03-12 17:12:26,028] [INFO] [30025] PREPARE received from 30063 for REQUEST 1741767145002
[2025-03-12 17:12:26,028] [INFO] [30025] PREPARE received from 30102 for REQUEST 1741767145002
[2025-03-12 17:12:26,028] [INFO] [30025] PREPARE received from 30195 for REQUEST 1741767145002
[2025-03-12 17:12:26,999] [INFO] [30025] COMMIT received from 30127 for REQUEST 1741767145002
[2025-03-12 17:12:27,153] [INFO] [30025] PREPARE received from 30154 for REQUEST 1741767145002
[2025-03-12 17:12:27,153] [INFO] [30025] PREPARE received from 30035 for REQUEST 1741767145002
[2025-03-12 17:12:27,153] [INFO] [30025] PREPARE received from 30016 for REQUEST 1741767145002
[2025-03-12 17:12:27,212] [INFO] [30025] PREPARE received from 30163 for REQUEST 1741767145002
[2025-03-12 17:12:27,212] [INFO] [30025] PREPARE received from 30151 for REQUEST 1741767145002
[2025-03-12 17:12:27,212] [INFO] [30025] PREPARE received from 30055 for REQUEST 1741767145002
[2025-03-12 17:12:27,212] [INFO] [30025] COMMIT received from 30102 for REQUEST 1741767145002
[2025-03-12 17:12:27,212] [INFO] [30025] COMMIT complete. Sending PRE-REPLY: REQUEST 1741767145002 directly to Manager 30112
[2025-03-12 17:12:27,216] [INFO] [30025] COMMIT received from 30195 for REQUEST 1741767145002
[2025-03-12 17:12:27,509] [INFO] [30025] COMMIT received from 30154 for REQUEST 1741767145002
