[2025-03-20 12:06:06,365] [INFO] Random node started: localhost:30003 | index=  4 | f=1, k=4
[2025-03-20 12:06:19,053] [INFO] Phase: PRE-PREPARE | Receiver: 30003 | Sender: 30012 | Distance:  140.82 m | Delay: 0.6992s | Size: 16781216 bit
[2025-03-20 12:06:19,067] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30003 | Distance:  140.82 m | Delay: 0.6992s | Size: 16778312 bit
[2025-03-20 12:06:19,703] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30019 | Distance:   44.36 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:19,719] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30003 | Distance:   44.36 m | Delay: 0.3107s | Size: 16778312 bit
[2025-03-20 12:06:19,758] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30032 | Distance:  153.66 m | Delay: 0.9322s | Size: 16779152 bit
[2025-03-20 12:06:19,794] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30033 | Distance:   55.55 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:20,084] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30008 | Distance:   85.92 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:20,172] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30018 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779160 bit
[2025-03-20 12:06:20,201] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30034 | Distance:  161.46 m | Delay: 0.9322s | Size: 16779152 bit
[2025-03-20 12:06:20,234] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30017 | Distance:  111.60 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,417] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30008 | Distance:   85.92 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,442] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30012 | Distance:  140.82 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,452] [INFO] Phase: PRE-REPLY | Receiver: 30023 | Sender: 30003 | Distance:  140.82 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:20,523] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30033 | Distance:   55.55 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,547] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30032 | Distance:  153.66 m | Delay: 0.9322s | Size: 16779144 bit
[2025-03-20 12:06:20,601] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30019 | Distance:   44.36 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:20,648] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30034 | Distance:  161.46 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:20,682] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30017 | Distance:  111.60 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,720] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30018 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,072] [INFO] Phase: PRE-PREPARE | Receiver: 30003 | Sender: 30012 | Distance:  140.82 m | Delay: 0.6992s | Size: 16781216 bit
[2025-03-20 12:06:24,079] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30003 | Distance:  140.82 m | Delay: 0.6992s | Size: 16778320 bit
[2025-03-20 12:06:24,577] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30017 | Distance:  111.60 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:24,589] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30003 | Distance:  111.60 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:25,031] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30033 | Distance:   55.55 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:25,099] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30008 | Distance:   85.92 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,150] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30018 | Distance:   62.20 m | Delay: 0.4661s | Size: 16779160 bit
[2025-03-20 12:06:25,178] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30019 | Distance:   44.36 m | Delay: 0.3107s | Size: 16779152 bit
[2025-03-20 12:06:25,205] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30034 | Distance:  161.46 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:25,237] [INFO] Phase: PREPARE | Receiver: 30003 | Sender: 30032 | Distance:  153.66 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:25,413] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30017 | Distance:  111.60 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:25,449] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30012 | Distance:  140.82 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,461] [INFO] Phase: PRE-REPLY | Receiver: 30023 | Sender: 30003 | Distance:  140.82 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:25,553] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30008 | Distance:   85.92 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:25,579] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30034 | Distance:  161.46 m | Delay: 0.9322s | Size: 16779152 bit
[2025-03-20 12:06:25,603] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30032 | Distance:  153.66 m | Delay: 0.9322s | Size: 16779160 bit
[2025-03-20 12:06:25,627] [INFO] Phase: COMMIT | Receiver: 30003 | Sender: 30019 | Distance:   44.36 m | Delay: 0.3107s | Size: 16779152 bit
