[2025-03-20 12:06:08,759] [INFO] Random node started: localhost:30015 | index= 16 | f=1, k=4
[2025-03-20 12:06:18,235] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30015 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16781664 bit
[2025-03-20 12:06:18,239] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30015 | Distance:    0.00 m | Delay: N/A | Size: 16780408 bit
[2025-03-20 12:06:18,416] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30037 | Distance:  132.93 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,430] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30026 | Distance:  112.92 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,433] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:  112.92 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:18,543] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,583] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30039 | Distance:  162.07 m | Delay: 0.9321s | Size: 16779152 bit
[2025-03-20 12:06:18,645] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30021 | Distance:  107.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,659] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:18,668] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,683] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30026 | Distance:  112.92 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,699] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30039 | Distance:  162.07 m | Delay: 0.9321s | Size: 16779136 bit
[2025-03-20 12:06:18,699] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30015 | Distance:  162.07 m | Delay: 0.9321s | Size: 16778312 bit
[2025-03-20 12:06:18,727] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30004 | Distance:  125.05 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,734] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,742] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30037 | Distance:  132.93 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,750] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:18,772] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,782] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30021 | Distance:  107.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:18,788] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30004 | Distance:  125.05 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:18,918] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30015 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16781664 bit
[2025-03-20 12:06:18,921] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30015 | Distance:    0.00 m | Delay: N/A | Size: 16780408 bit
[2025-03-20 12:06:19,230] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30037 | Distance:  132.93 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:19,347] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30021 | Distance:  107.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:19,357] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:  107.24 m | Delay: 0.6991s | Size: 16778312 bit
[2025-03-20 12:06:19,665] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30039 | Distance:  162.07 m | Delay: 0.9321s | Size: 16779152 bit
[2025-03-20 12:06:19,689] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:19,776] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:19,808] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30004 | Distance:  125.05 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:19,855] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:19,893] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30026 | Distance:  112.92 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:19,971] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30037 | Distance:  132.93 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:20,034] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30021 | Distance:  107.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,044] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30015 | Distance:  107.24 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:20,156] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30039 | Distance:  162.07 m | Delay: 0.9321s | Size: 16779152 bit
[2025-03-20 12:06:20,181] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,254] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30004 | Distance:  125.05 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,291] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,325] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30026 | Distance:  112.92 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,380] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:23,960] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30015 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16781656 bit
[2025-03-20 12:06:23,964] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30015 | Distance:    0.00 m | Delay: N/A | Size: 16780408 bit
[2025-03-20 12:06:24,303] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,477] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30037 | Distance:  132.93 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:24,505] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:  132.93 m | Delay: 0.6991s | Size: 16778320 bit
[2025-03-20 12:06:24,549] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,180] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30026 | Distance:  112.92 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,243] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30039 | Distance:  162.07 m | Delay: 0.9321s | Size: 16779152 bit
[2025-03-20 12:06:25,293] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30021 | Distance:  107.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,360] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,429] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30004 | Distance:  125.05 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:25,508] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:25,538] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,548] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30015 | Distance:   80.33 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:25,680] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30021 | Distance:  107.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,701] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,713] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30004 | Distance:  125.05 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:25,725] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30037 | Distance:  132.93 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,737] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30026 | Distance:  112.92 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,741] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30039 | Distance:  162.07 m | Delay: 0.9321s | Size: 16779152 bit
[2025-03-20 12:06:28,929] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30015 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16781656 bit
[2025-03-20 12:06:28,929] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30015 | Distance:    0.00 m | Delay: N/A | Size: 16780408 bit
[2025-03-20 12:06:29,255] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
