[2025-03-20 12:06:05,770] [INFO] Random node started: localhost:30000 | index=  1 | f=1, k=4
[2025-03-20 12:06:19,049] [INFO] Phase: PRE-PREPARE | Receiver: 30000 | Sender: 30038 | Distance:   90.20 m | Delay: 0.4661s | Size: 16781208 bit
[2025-03-20 12:06:19,059] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:   90.20 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:19,360] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30031 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:19,376] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:   52.50 m | Delay: 0.4661s | Size: 16778312 bit
[2025-03-20 12:06:19,856] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30028 | Distance:  125.09 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:19,926] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30013 | Distance:  139.92 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:19,972] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30001 | Distance:  116.31 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:20,039] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30029 | Distance:   76.51 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:20,088] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30025 | Distance:   89.56 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:20,132] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30006 | Distance:   24.57 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:20,302] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30031 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,347] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30038 | Distance:   90.20 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,362] [INFO] Phase: PRE-REPLY | Receiver: 30009 | Sender: 30000 | Distance:   90.20 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:20,525] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30028 | Distance:  125.09 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:20,563] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30013 | Distance:  139.92 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:20,632] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30025 | Distance:   89.56 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,675] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30006 | Distance:   24.57 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:20,718] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30029 | Distance:   76.51 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:20,742] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30001 | Distance:  116.31 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,083] [INFO] Phase: PRE-PREPARE | Receiver: 30000 | Sender: 30038 | Distance:   90.20 m | Delay: 0.4661s | Size: 16781208 bit
[2025-03-20 12:06:24,095] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:   90.20 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:24,614] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30006 | Distance:   24.57 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:24,630] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:   24.57 m | Delay: 0.3107s | Size: 16778320 bit
[2025-03-20 12:06:24,662] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30029 | Distance:   76.51 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:24,693] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30013 | Distance:  139.92 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:24,725] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30028 | Distance:  125.09 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:24,755] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30031 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:24,788] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30001 | Distance:  116.31 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:24,822] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30025 | Distance:   89.56 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,350] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30001 | Distance:  116.31 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,381] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30013 | Distance:  139.92 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:25,397] [INFO] Phase: PRE-REPLY | Receiver: 30009 | Sender: 30000 | Distance:  139.92 m | Delay: 0.6991s | Size: 16778304 bit
[2025-03-20 12:06:25,482] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30029 | Distance:   76.51 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,514] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30031 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:25,550] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30028 | Distance:  125.09 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:25,583] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30006 | Distance:   24.57 m | Delay: 0.3107s | Size: 16779160 bit
[2025-03-20 12:06:25,619] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30038 | Distance:   90.20 m | Delay: 0.4661s | Size: 16779144 bit
[2025-03-20 12:06:25,672] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30025 | Distance:   89.56 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:29,053] [INFO] Phase: PRE-PREPARE | Receiver: 30000 | Sender: 30038 | Distance:   90.20 m | Delay: 0.4661s | Size: 16781208 bit
